Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,quality,latitude,longitude,altitude,utm_easting,utm_northing,zone_number,zone_letter
1697470341.9197426,6,162953,799999999,GPS1_Frame,5,42.33814239501953,-71.08457946777344,4.699999809265137,328273.59375,4689425.0,19,T
1697470342.5220127,7,162954,799999999,GPS1_Frame,5,42.338130950927734,-71.0845718383789,4.671999931335449,328274.28125,4689424.0,19,T
1697470343.124275,8,162955,799999999,GPS1_Frame,5,42.3381233215332,-71.08455657958984,4.72599983215332,328275.0625,4689423.0,19,T
1697470343.7265804,9,162956,799999999,GPS1_Frame,5,42.338111877441406,-71.08454895019531,4.6539998054504395,328275.8125,4689422.0,19,T
1697470344.3291194,10,162957,799999999,GPS1_Frame,5,42.338104248046875,-71.08454132080078,4.671999931335449,328276.59375,4689421.0,19,T
1697470344.931148,11,162958,799999999,GPS1_Frame,5,42.33809280395508,-71.08453369140625,4.885000228881836,328277.375,4689420.0,19,T
1697470345.5332615,12,162959,799999999,GPS1_Frame,5,42.33808517456055,-71.08451843261719,5.366000175476074,328278.28125,4689419.0,19,T
1697470346.1355975,13,163000,799999999,GPS1_Frame,5,42.338069915771484,-71.08448791503906,13.982999801635742,328281.03125,4689417.0,19,T
1697470346.7379346,14,163001,799999999,GPS1_Frame,1,42.338043212890625,-71.08444213867188,25.575000762939453,328284.46875,4689414.0,19,T
1697470347.3401222,15,163002,799999999,GPS1_Frame,5,42.33802032470703,-71.08438110351562,42.1510009765625,328289.25,4689411.5,19,T
1697470347.942536,16,163003,799999999,GPS1_Frame,5,42.337974548339844,-71.08424377441406,85.74700164794922,328300.53125,4689406.0,19,T
1697470348.5449617,17,163004,799999999,GPS1_Frame,5,42.33799362182617,-71.08433532714844,52.42499923706055,328293.3125,4689408.5,19,T
1697470349.147541,18,163005,799999999,GPS1_Frame,1,42.33802032470703,-71.08435821533203,38.505001068115234,328291.21875,4689411.5,19,T
1697470349.7503207,19,163006,799999999,GPS1_Frame,5,42.33802032470703,-71.08442687988281,14.151000022888184,328285.8125,4689411.5,19,T
1697470350.352813,20,163007,799999999,GPS1_Frame,5,42.338008880615234,-71.08441162109375,16.354000091552734,328287.125,4689410.0,19,T
1697470350.9553754,21,163008,799999999,GPS1_Frame,5,42.338016510009766,-71.08445739746094,-4.198999881744385,328282.96875,4689411.0,19,T
1697470351.5578566,22,163009,799999999,GPS1_Frame,5,42.33802795410156,-71.08451843261719,-28.75200080871582,328277.96875,4689412.5,19,T
1697470352.1607318,23,163010,799999999,GPS1_Frame,5,42.338043212890625,-71.0845947265625,-55.777000427246094,328272.09375,4689414.0,19,T
1697470352.7635484,24,163011,799999999,GPS1_Frame,5,42.337974548339844,-71.08438873291016,11.496000289916992,328288.78125,4689406.0,19,T
1697470353.365523,25,163012,799999999,GPS1_Frame,5,42.33795928955078,-71.08435821533203,19.00200080871582,328291.25,4689404.5,19,T
1697470353.9676816,26,163013,799999999,GPS1_Frame,5,42.337947845458984,-71.0843505859375,18.687999725341797,328291.90625,4689403.5,19,T
1697470354.569992,27,163014,799999999,GPS1_Frame,5,42.33794021606445,-71.08432006835938,24.594999313354492,328294.15625,4689402.0,19,T
1697470355.172812,28,163015,799999999,GPS1_Frame,5,42.33792495727539,-71.08430480957031,27.392000198364258,328295.5625,4689400.5,19,T
1697470355.7767384,29,163016,799999999,GPS1_Frame,5,42.33791732788086,-71.08429718017578,26.38800048828125,328296.15625,4689400.0,19,T
1697470356.3792052,30,163017,799999999,GPS1_Frame,5,42.33790969848633,-71.08428955078125,24.871999740600586,328296.53125,4689399.0,19,T
1697470356.981039,31,163018,799999999,GPS1_Frame,5,42.3379020690918,-71.08428192138672,24.051000595092773,328297.375,4689398.0,19,T
1697470357.5836058,32,163019,799999999,GPS1_Frame,5,42.337894439697266,-71.08427429199219,22.93199920654297,328298.125,4689397.0,19,T
1697470358.1862328,33,163020,799999999,GPS1_Frame,5,42.33788299560547,-71.08426666259766,22.325000762939453,328298.75,4689396.0,19,T
1697470358.7892306,34,163021,799999999,GPS1_Frame,5,42.33787536621094,-71.0842514038086,21.863000869750977,328299.53125,4689395.0,19,T
1697470359.3920135,35,163022,799999999,GPS1_Frame,5,42.337867736816406,-71.0842514038086,20.663000106811523,328300.0625,4689394.5,19,T
1697470359.9949038,36,163023,799999999,GPS1_Frame,5,42.337860107421875,-71.08424377441406,19.554000854492188,328300.53125,4689393.0,19,T
1697470360.5977786,37,163024,799999999,GPS1_Frame,5,42.33784866333008,-71.084228515625,19.71299934387207,328301.5,4689392.5,19,T
1697470361.2003498,38,163025,799999999,GPS1_Frame,5,42.33783721923828,-71.08422088623047,20.576000213623047,328302.40625,4689391.0,19,T
1697470361.8028367,39,163026,799999999,GPS1_Frame,5,42.337825775146484,-71.08422088623047,19.677000045776367,328302.46875,4689389.5,19,T
1697470362.4045928,40,163027,799999999,GPS1_Frame,1,42.33781814575195,-71.08421325683594,19.229000091552734,328303.0625,4689388.5,19,T
1697470363.0069356,41,163028,799999999,GPS1_Frame,5,42.33780288696289,-71.0842056274414,18.621000289916992,328303.53125,4689387.0,19,T
1697470363.609037,42,163029,799999999,GPS1_Frame,5,42.33779525756836,-71.08419799804688,18.350000381469727,328304.28125,4689386.0,19,T
1697470364.2110353,43,163030,799999999,GPS1_Frame,5,42.33778762817383,-71.08418273925781,17.474000930786133,328305.0,4689385.0,19,T
1697470364.8134766,44,163031,799999999,GPS1_Frame,5,42.337772369384766,-71.08417510986328,17.368999481201172,328305.78125,4689383.5,19,T
1697470365.4160302,45,163032,799999999,GPS1_Frame,5,42.337764739990234,-71.08416748046875,16.989999771118164,328306.53125,4689382.5,19,T
1697470366.0180557,46,163033,799999999,GPS1_Frame,5,42.3377571105957,-71.08415985107422,16.93899917602539,328307.21875,4689381.5,19,T
1697470366.6207354,47,163034,799999999,GPS1_Frame,5,42.337745666503906,-71.08415222167969,16.83300018310547,328307.90625,4689380.5,19,T
1697470367.2233899,48,163035,799999999,GPS1_Frame,5,42.33773422241211,-71.08413696289062,16.489999771118164,328308.6875,4689379.5,19,T
1697470367.8259215,49,163036,799999999,GPS1_Frame,5,42.33772277832031,-71.08413696289062,14.130999565124512,328308.78125,4689378.0,19,T
1697470368.4281464,50,163037,799999999,GPS1_Frame,5,42.33770751953125,-71.0841293334961,12.6899995803833,328309.15625,4689376.5,19,T
1697470369.030727,51,163038,799999999,GPS1_Frame,5,42.33769607543945,-71.08412170410156,12.515000343322754,328309.9375,4689375.0,19,T
1697470369.6837716,52,163039,799999999,GPS1_Frame,5,42.337684631347656,-71.08411407470703,11.295999526977539,328310.375,4689373.5,19,T
1697470370.286541,53,163040,799999999,GPS1_Frame,5,42.33767318725586,-71.0841064453125,11.053999900817871,328311.09375,4689372.5,19,T
1697470370.8888235,54,163041,799999999,GPS1_Frame,5,42.33766174316406,-71.08409881591797,10.642000198364258,328311.65625,4689371.0,19,T
1697470371.4913247,55,163042,799999999,GPS1_Frame,5,42.337650299072266,-71.08409118652344,10.406999588012695,328312.34375,4689370.0,19,T
1697470372.0932927,56,163043,799999999,GPS1_Frame,5,42.337642669677734,-71.0840835571289,10.291000366210938,328313.125,4689368.5,19,T
1697470372.6961195,57,163044,799999999,GPS1_Frame,5,42.33763122558594,-71.08406829833984,10.319000244140625,328313.96875,4689367.5,19,T
1697470373.2985797,58,163045,799999999,GPS1_Frame,5,42.337623596191406,-71.08406066894531,9.855999946594238,328314.71875,4689366.5,19,T
1697470373.9013362,59,163046,799999999,GPS1_Frame,5,42.33761215209961,-71.08405303955078,8.947999954223633,328315.15625,4689365.5,19,T
1697470374.5032895,60,163047,799999999,GPS1_Frame,5,42.33760452270508,-71.08405303955078,7.519000053405762,328315.59375,4689364.5,19,T
1697470375.1059034,61,163048,799999999,GPS1_Frame,5,42.33759307861328,-71.08404541015625,5.573999881744385,328316.03125,4689363.5,19,T
1697470375.708351,62,163049,799999999,GPS1_Frame,5,42.33758544921875,-71.08404541015625,3.183000087738037,328316.21875,4689362.5,19,T
1697470376.311123,63,163050,799999999,GPS1_Frame,5,42.33757019042969,-71.08402252197266,7.434000015258789,328318.03125,4689361.0,19,T
1697470376.9136114,64,163051,799999999,GPS1_Frame,5,42.337562561035156,-71.08401489257812,5.36899995803833,328318.28125,4689360.0,19,T
1697470377.5163124,65,163052,799999999,GPS1_Frame,5,42.33755111694336,-71.0840072631836,6.175000190734863,328318.875,4689358.5,19,T
1697470378.1185622,66,163053,799999999,GPS1_Frame,5,42.33753967285156,-71.08399200439453,11.131999969482422,328320.53125,4689357.0,19,T
1697470378.721241,67,163054,799999999,GPS1_Frame,5,42.3375244140625,-71.08396911621094,15.336999893188477,328322.25,4689355.5,19,T
1697470379.324238,68,163055,799999999,GPS1_Frame,5,42.3375129699707,-71.08393859863281,21.114999771118164,328324.71875,4689354.5,19,T
1697470379.926792,69,163056,799999999,GPS1_Frame,5,42.33750534057617,-71.08393859863281,18.239999771118164,328324.875,4689353.5,19,T
