%time,field.header.seq,field.header.stamp,field.header.frame_id,field.quality,field.latitude,field.longitude,field.altitude,field.utm_easting,field.utm_northing,field.zone_number,field.zone_letter
1697468195350320398,1,163716799999999,GPS1_Frame,5,42.33727264404297,-71.08705139160156,12.519000053405762,328067.46875,4689334.0,19,T
1697468195417746252,2,163717799999999,GPS1_Frame,5,42.33727264404297,-71.08705139160156,12.468999862670898,328067.4375,4689334.0,19,T
1697468195485482866,3,163718799999999,GPS1_Frame,5,42.33727264404297,-71.08705139160156,12.395999908447266,328067.4375,4689334.0,19,T
1697468195552687520,4,163719799999999,GPS1_Frame,5,42.33727264404297,-71.08705139160156,12.32800006866455,328067.4375,4689334.0,19,T
1697468195620195568,5,163720799999999,GPS1_Frame,5,42.33727264404297,-71.08705139160156,12.258999824523926,328067.4375,4689334.0,19,T
1697468195687520170,6,163721799999999,GPS1_Frame,5,42.33727264404297,-71.08705139160156,12.218999862670898,328067.4375,4689334.0,19,T
1697468195755596609,7,163722799999999,GPS1_Frame,5,42.33727264404297,-71.08705139160156,12.163999557495117,328067.4375,4689334.0,19,T
1697468195822989961,8,163723799999999,GPS1_Frame,5,42.33727264404297,-71.08705139160156,12.11299991607666,328067.40625,4689334.0,19,T
1697468195889833744,9,163724799999999,GPS1_Frame,5,42.33727264404297,-71.08705139160156,12.050000190734863,328067.40625,4689334.0,19,T
1697468195957269480,10,163725799999999,GPS1_Frame,5,42.33727264404297,-71.08705139160156,11.982999801635742,328067.40625,4689334.0,19,T
1697468196024565558,11,163726799999999,GPS1_Frame,5,42.33727264404297,-71.08705139160156,11.901000022888184,328067.375,4689334.0,19,T
1697468196092047330,12,163727799999999,GPS1_Frame,5,42.33727264404297,-71.08705139160156,11.845000267028809,328067.375,4689334.0,19,T
1697468196159445026,13,163728799999999,GPS1_Frame,5,42.33727264404297,-71.08705139160156,11.791000366210938,328067.34375,4689334.0,19,T
1697468196226738392,14,163729799999999,GPS1_Frame,5,42.33727264404297,-71.08705139160156,11.734999656677246,328067.3125,4689334.0,19,T
1697468196294061673,15,163730799999999,GPS1_Frame,5,42.33727264404297,-71.08705139160156,11.668999671936035,328067.28125,4689334.0,19,T
1697468196361545061,16,163731799999999,GPS1_Frame,5,42.33727264404297,-71.08705139160156,11.611000061035156,328067.28125,4689334.0,19,T
1697468196428888410,17,163732799999999,GPS1_Frame,5,42.33727264404297,-71.08705139160156,11.550999641418457,328067.25,4689334.0,19,T
1697468196495885266,18,163733799999999,GPS1_Frame,5,42.33727264404297,-71.08705139160156,11.51200008392334,328067.21875,4689334.0,19,T
1697468196562920867,19,163734799999999,GPS1_Frame,5,42.33727264404297,-71.0870590209961,11.467000007629395,328067.1875,4689334.0,19,T
1697468196630649277,20,163735799999999,GPS1_Frame,5,42.33727264404297,-71.0870590209961,11.434000015258789,328067.125,4689334.0,19,T
1697468196697890663,21,163736799999999,GPS1_Frame,5,42.33727264404297,-71.0870590209961,11.409000396728516,328067.09375,4689334.0,19,T
1697468196765611597,22,163737799999999,GPS1_Frame,5,42.33727264404297,-71.0870590209961,11.378999710083008,328067.0625,4689334.0,19,T
1697468196833128178,23,163738799999999,GPS1_Frame,5,42.33727264404297,-71.0870590209961,11.385000228881836,328067.03125,4689334.0,19,T
1697468196900921806,24,163739799999999,GPS1_Frame,5,42.33727264404297,-71.0870590209961,11.380000114440918,328067.0,4689334.0,19,T
1697468196968912703,25,163740799999999,GPS1_Frame,4,42.33727264404297,-71.0870590209961,11.312000274658203,328067.0,4689334.0,19,T
1697468197036630831,26,163741799999999,GPS1_Frame,4,42.33727264404297,-71.0870590209961,11.310999870300293,328066.96875,4689334.0,19,T
1697468197103714388,27,163742799999999,GPS1_Frame,5,42.33727264404297,-71.0870590209961,11.357999801635742,328066.84375,4689333.5,19,T
1697468197171240177,28,163743799999999,GPS1_Frame,4,42.33727264404297,-71.0870590209961,11.128000259399414,328066.96875,4689334.0,19,T
1697468197232969961,29,163744799999999,GPS1_Frame,5,42.33727264404297,-71.0870590209961,10.96500015258789,328067.0,4689334.0,19,T
1697468197295349108,30,163745799999999,GPS1_Frame,5,42.33727264404297,-71.0870590209961,10.822999954223633,328067.03125,4689334.0,19,T
1697468197357612910,31,163746799999999,GPS1_Frame,5,42.33727264404297,-71.0870590209961,10.711000442504883,328067.0625,4689334.0,19,T
1697468197419630354,32,163747799999999,GPS1_Frame,5,42.33727264404297,-71.0870590209961,10.626999855041504,328067.09375,4689334.0,19,T
1697468197481815097,33,163748799999999,GPS1_Frame,4,42.33727264404297,-71.08705139160156,10.442000389099121,328067.21875,4689334.0,19,T
1697468197544248376,34,163749799999999,GPS1_Frame,4,42.33727264404297,-71.08705139160156,10.446000099182129,328067.21875,4689334.0,19,T
1697468197606612641,35,163750799999999,GPS1_Frame,5,42.33727264404297,-71.08705139160156,10.232000350952148,328067.25,4689334.0,19,T
1697468197668520030,36,163751799999999,GPS1_Frame,5,42.33727264404297,-71.08705139160156,10.069000244140625,328067.28125,4689334.0,19,T
