Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,latitude,longitude,altitude,utm_easting,utm_northing,zone,letter
1696272452.2832217,212,0,0,,42.333133333333336,71.10133333333333,0.0,673120.4652712798,4688903.13133936,42,T
1696272453.28191,213,0,0,,42.333133333333336,71.10133333333333,0.0,673120.4652712798,4688903.13133936,42,T
1696272454.2836192,214,0,0,,42.33313666666666,71.10133,0.0,673120.1814935432,4688903.494694609,42,T
1696272455.2859054,215,0,0,,42.33314666666667,71.10132166666668,0.0,673119.4674763137,4688904.588153445,42,T
1696272456.2855704,216,0,0,,42.33315833333333,71.10131166666666,0.0,673118.6115705168,4688905.8632900035,42,T
1696272457.2870884,217,0,0,,42.33316833333333,71.10130166666666,0.0,673117.7602379904,4688906.953356006,42,T
1696272458.284345,218,0,0,,42.33317999999999,71.10128833333333,0.0,673116.6297013031,4688908.221706836,42,T
1696272459.2847571,219,0,0,,42.33319166666667,71.10127833333333,0.0,673115.7737964313,4688909.496843722,42,T
1696272460.2848208,220,0,0,,42.33320333333333,71.10126833333334,0.0,673114.9178918576,4688910.771980703,42,T
1696272461.2839816,221,0,0,,42.33321333333333,71.10125833333333,0.0,673114.0665604663,4688911.862047127,42,T
1696272462.311336,222,0,0,,42.33322666666666,71.10125,0.0,673113.3433992417,4688913.325647857,42,T
1696272463.285988,223,0,0,,42.33323666666667,71.10124333333333,0.0,673112.7666996063,4688914.4225002285,42,T
1696272464.2844892,224,0,0,,42.33324833333333,71.10123666666667,0.0,673112.1854273005,4688915.704423301,42,T
1696272465.310423,225,0,0,,42.33326,71.10123,0.0,673111.6041551909,4688916.986346417,42,T
1696272466.3118024,226,0,0,,42.33327166666666,71.10122166666666,0.0,673110.8855677438,4688918.264876723,42,T
1696272467.2836688,227,0,0,,42.33328333333334,71.10121333333333,0.0,673110.1669805439,4688919.543407102,42,T
1696272468.2838564,228,0,0,,42.33329333333333,71.10120333333333,0.0,673109.3156508775,4688920.633474062,42,T
1696272469.3131495,229,0,0,,42.333305,71.101195,0.0,673108.5970641806,4688921.912004587,42,T
1696272470.285067,230,0,0,,42.33331499999999,71.10118833333333,0.0,673108.0203659029,4688923.008857318,42,T
1696272471.2859595,231,0,0,,42.33332666666667,71.10118166666666,0.0,673107.4390950738,4688924.290780755,42,T
1696272472.2853053,232,0,0,,42.333336666666675,71.101175,0.0,673106.8623971523,4688925.387633577,42,T
1696272473.284759,233,0,0,,42.333346666666664,71.10116666666666,0.0,673106.1483840258,4688926.481093675,42,T
1696272474.285478,234,0,0,,42.33335666666667,71.10115666666667,0.0,673105.297055766,4688927.571161091,42,T
1696272475.2861092,235,0,0,,42.333368333333325,71.10114833333334,0.0,673104.5784704355,4688928.849691998,42,T
1696272476.286477,236,0,0,,42.333378333333336,71.10114166666668,0.0,673104.0017732896,4688929.946545039,42,T
1696272477.287987,237,0,0,,42.33338833333334,71.10113,0.0,673103.0131304739,4688931.033219994,42,T
1696272478.286477,238,0,0,,42.33339833333333,71.101125,0.0,673102.5737489914,4688932.133465847,42,T
1696272479.2885208,239,0,0,,42.33340666666666,71.10110833333333,0.0,673101.1777335531,4688933.024892306,42,T
1696272480.2899454,240,0,0,,42.333414999999995,71.10109333333334,0.0,673099.9190336962,4688933.919711679,42,T
1696272481.2906773,241,0,0,,42.333421666666666,71.10108333333332,0.0,673099.0768522917,4688934.639638488,42,T
1696272482.2894266,242,0,0,,42.33343,71.10107500000001,0.0,673098.3674137538,4688935.548028671,42,T
1696272483.2902339,243,0,0,,42.33344,71.10106666666667,0.0,673097.6534029057,4688936.64148958,42,T
1696272484.2899299,244,0,0,,42.33344999999999,71.10105666666666,0.0,673096.8020771284,4688937.73155797,42,T
1696272485.2896314,245,0,0,,42.333458333333326,71.10105,0.0,673096.229954302,4688938.643340944,42,T
1696272486.3135831,246,0,0,,42.333468333333336,71.10104333333334,0.0,673095.6532591813,4688939.740194625,42,T
1696272487.2879755,247,0,0,,42.33347833333334,71.10103666666667,0.0,673095.076564232,4688940.837048349,42,T
1696272488.313787,248,0,0,,42.33348833333333,71.10102833333333,0.0,673094.3625543895,4688941.930509573,42,T
1696272489.2905896,249,0,0,,42.33349833333333,71.10101833333333,0.0,673093.5112297215,4688943.020578337,42,T
1696272490.2857957,250,0,0,,42.33350833333334,71.10101,0.0,673092.7972203245,4688944.11403971,42,T
1696272491.313647,251,0,0,,42.33351833333333,71.10100166666666,0.0,673092.0832111426,4688945.207501149,42,T
1696272492.286097,252,0,0,,42.333528333333334,71.100995,0.0,673091.5065171485,4688946.304355146,42,T
1696272493.2877512,253,0,0,,42.33353999999999,71.10098666666666,0.0,673090.7879360496,4688947.58288737,42,T
1696272494.285953,254,0,0,,42.333549999999995,71.10097666666667,0.0,673089.9366125761,4688948.672956542,42,T
1696272495.3116186,255,0,0,,42.333560000000006,71.10096833333334,0.0,673089.2226042652,4688949.766418256,42,T
1696272496.2848284,256,0,0,,42.333569999999995,71.100965,0.0,673088.9205408106,4688950.870057346,42,T
1696272497.3128097,257,0,0,,42.33358166666667,71.10096166666668,0.0,673088.6139051741,4688952.1587671125,42,T
1696272498.2861261,258,0,0,,42.33359666666667,71.10095333333334,0.0,673087.8861806307,4688953.807440941,42,T
1696272499.2871544,259,0,0,,42.33360833333333,71.10094666666667,0.0,673087.3049156736,4688955.089365919,42,T
1696272500.3136132,260,0,0,,42.333616666666664,71.10094166666666,0.0,673086.8701101387,4688956.004542016,42,T
1696272501.2864168,261,0,0,,42.33362833333334,71.10093666666667,0.0,673086.4261602762,4688957.289859467,42,T
1696272502.2861865,262,0,0,,42.33363666666667,71.10093333333333,0.0,673086.1286697129,4688958.208428005,42,T
1696272503.2871006,263,0,0,,42.33364666666667,71.10092833333333,0.0,673085.6892922954,4688959.308674836,42,T
1696272504.285993,264,0,0,,42.333655,71.10092166666666,0.0,673085.1171725,4688960.220458651,42,T
1696272505.2868981,265,0,0,,42.333663333333334,71.100915,0.0,673084.5450528444,4688961.13224251,42,T
1696272506.286511,266,0,0,,42.33366833333333,71.10091333333334,0.0,673084.3940216557,4688961.684062146,42,T
1696272507.2870147,267,0,0,,42.33367499999999,71.10091000000001,0.0,673084.1011036654,4688962.417560095,42,T
1696272508.287339,268,0,0,,42.33368666666667,71.100905,0.0,673083.6571546318,4688963.702877709,42,T
1696272509.2853093,269,0,0,,42.333696666666675,71.10090166666667,0.0,673083.355092493,4688964.80651702,42,T
1696272510.2856543,270,0,0,,42.333706666666664,71.10089500000001,0.0,673082.7784012689,4688965.903371676,42,T
1696272511.287117,271,0,0,,42.33372166666666,71.10088333333333,0.0,673081.7760501939,4688967.545261433,42,T
1696272512.2862606,272,0,0,,42.333735,71.100875,0.0,673081.0529006984,4688969.0088652475,42,T
1696272513.3140867,273,0,0,,42.33374833333334,71.10086666666666,0.0,673080.3297514842,4688970.47246913,42,T
1696272514.2907221,274,0,0,,42.33376,71.100855,0.0,673079.3365456761,4688971.744217877,42,T
1696272515.2875588,275,0,0,,42.33377166666667,71.10084499999999,0.0,673078.4806546567,4688973.019359006,42,T
1696272516.314065,276,0,0,,42.333783333333336,71.10083333333334,0.0,673077.4874495215,4688974.291108,42,T
1696272517.2867134,277,0,0,,42.333796666666665,71.10082666666668,0.0,673076.9016159145,4688975.758104441,42,T
1696272518.28635,278,0,0,,42.33380833333334,71.10081833333334,0.0,673076.1830401467,4688977.036638052,42,T
1696272519.2921257,279,0,0,,42.33381666666667,71.100795,0.0,673074.2377794504,4688977.914500765,42,T
1696272520.317434,280,0,0,,42.33382666666667,71.10077833333334,0.0,673072.8372046726,4688978.991003218,42,T
1696272521.288731,281,0,0,,42.33383666666667,71.10077166666666,0.0,673072.2605161265,4688980.0878586825,42,T
1696272522.3182242,282,0,0,,42.33384833333333,71.10076666666667,0.0,673071.8165701625,4688981.37317698,42,T
1696272523.2895334,283,0,0,,42.33385833333333,71.10075833333333,0.0,673071.1025676947,4688982.466640409,42,T
1696272524.288706,284,0,0,,42.33387,71.10075166666667,0.0,673070.521307834,4688983.748566673,42,T
1696272525.2895067,285,0,0,,42.33388,71.10074833333333,0.0,673070.2192484037,4688984.8522064965,42,T
1696272526.2902148,286,0,0,,42.333890000000004,71.10074333333334,0.0,673069.7798748743,4688985.952454243,42,T
1696272527.2921877,287,0,0,,42.33389833333334,71.10073833333333,0.0,673069.3450732739,4688986.867631346,42,T
1696272528.2909095,288,0,0,,42.333909999999996,71.10073166666666,0.0,673068.7638140447,4688988.149557743,42,T
1696272529.2905006,289,0,0,,42.33392166666666,71.100725,0.0,673068.1825550119,4688989.431484186,42,T
1696272530.2897935,290,0,0,,42.333931666666665,71.10071666666666,0.0,673067.4685538483,4688990.524947958,42,T
1696272531.2909045,291,0,0,,42.33394166666667,71.10070833333333,0.0,673066.7545529017,4688991.618411796,42,T
1696272532.2901406,292,0,0,,42.33395166666666,71.1007,0.0,673066.0405521638,4688992.711875702,42,T
1696272533.289329,293,0,0,,42.33396166666667,71.10069333333333,0.0,673065.4638656673,4688993.808731685,42,T
