%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.altitude,field.utm_easting,field.utm_northing,field.zone,field.letter
1698242518800186489,27,1698242518799597978,GPS1_Frame,42.33708572387695,-71.0898666381836,14.0,327835.0625,4689319.0,19,T
1698242519799914689,28,1698242519799211978,GPS1_Frame,42.33708572387695,-71.0898666381836,14.0,327835.0625,4689319.0,19,T
1698242520801061651,29,1698242520800680160,GPS1_Frame,42.33708572387695,-71.0898666381836,14.0,327835.0625,4689319.0,19,T
1698242521799608035,30,1698242521799257278,GPS1_Frame,42.33708572387695,-71.0898666381836,13.899999618530273,327835.0625,4689319.0,19,T
1698242522797393083,31,1698242522796887874,GPS1_Frame,42.33708572387695,-71.0898666381836,13.899999618530273,327835.0625,4689319.0,19,T
1698242523798146486,32,1698242523797889947,GPS1_Frame,42.33708572387695,-71.0898666381836,13.899999618530273,327835.0625,4689319.0,19,T
1698242524798168626,33,1698242524797423601,GPS1_Frame,42.33708572387695,-71.0898666381836,13.899999618530273,327835.0625,4689319.0,19,T
1698242525798128754,34,1698242525797604322,GPS1_Frame,42.33708572387695,-71.0898666381836,13.899999618530273,327835.0625,4689319.0,19,T
1698242526799193833,35,1698242526798779249,GPS1_Frame,42.33708572387695,-71.0898666381836,13.899999618530273,327835.0625,4689319.0,19,T
1698242527797960481,36,1698242527797634124,GPS1_Frame,42.33708572387695,-71.0898666381836,13.899999618530273,327835.0625,4689319.0,19,T
1698242528797963911,37,1698242528797712564,GPS1_Frame,42.33708572387695,-71.0898666381836,13.899999618530273,327835.0625,4689319.0,19,T
1698242529798060907,38,1698242529797776460,GPS1_Frame,42.33708572387695,-71.0898666381836,13.899999618530273,327835.0625,4689319.0,19,T
1698242530805681190,39,1698242530804891347,GPS1_Frame,42.33708572387695,-71.0898666381836,13.899999618530273,327835.0625,4689319.0,19,T
1698242531800812237,40,1698242531800220966,GPS1_Frame,42.33708572387695,-71.0898666381836,13.899999618530273,327835.0625,4689319.0,19,T
1698242532801789547,41,1698242532801178455,GPS1_Frame,42.33708572387695,-71.0898666381836,13.899999618530273,327835.0625,4689319.0,19,T
1698242533800609510,42,1698242533800346612,GPS1_Frame,42.33708572387695,-71.0898666381836,13.899999618530273,327835.0625,4689319.0,19,T
1698242534800058090,43,1698242534799467325,GPS1_Frame,42.33708572387695,-71.0898666381836,13.899999618530273,327835.0625,4689319.0,19,T
1698242535801367524,44,1698242535800674915,GPS1_Frame,42.33708572387695,-71.0898666381836,13.899999618530273,327835.0625,4689319.0,19,T
1698242536800753655,45,1698242536800225496,GPS1_Frame,42.33708572387695,-71.0898666381836,13.899999618530273,327835.0625,4689319.0,19,T
1698242537800445712,46,1698242537799942255,GPS1_Frame,42.33708572387695,-71.0898666381836,13.899999618530273,327835.0625,4689319.0,19,T
1698242538800504901,47,1698242538799855709,GPS1_Frame,42.33708572387695,-71.0898666381836,13.899999618530273,327835.0625,4689319.0,19,T
1698242539800921432,48,1698242539800284624,GPS1_Frame,42.33708572387695,-71.0898666381836,13.899999618530273,327835.0625,4689319.0,19,T
1698242540801273992,49,1698242540800640583,GPS1_Frame,42.33708572387695,-71.0898666381836,13.899999618530273,327835.0625,4689319.0,19,T
1698242541801419000,50,1698242541800841569,GPS1_Frame,42.33708572387695,-71.0898666381836,13.899999618530273,327835.0625,4689319.0,19,T
