Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,latitude,longitude,altitude,utm_easting,utm_northing,zone,letter
1696271104.4438777,47,0,0,,42.33445166666667,71.10039333333334,0.0,673039.4034419741,4689047.608992559,42,T
1696271105.4429696,48,0,0,,42.33445166666667,71.10039333333334,0.0,673039.4034419741,4689047.608992559,42,T
1696271106.4440885,49,0,0,,42.33445166666667,71.10039333333334,0.0,673039.4034419741,4689047.608992559,42,T
1696271107.4451134,50,0,0,,42.33445166666667,71.10039166666667,0.0,673039.2661290156,4689047.605601033,42,T
1696271108.4419913,51,0,0,,42.33445166666667,71.10039166666667,0.0,673039.2661290156,4689047.605601033,42,T
1696271109.4408758,52,0,0,,42.33445166666667,71.10039166666667,0.0,673039.2661290156,4689047.605601033,42,T
1696271110.4415152,53,0,0,,42.33445166666667,71.10039166666667,0.0,673039.2661290156,4689047.605601033,42,T
1696271111.441882,54,0,0,,42.33445166666667,71.10039166666667,0.0,673039.2661290156,4689047.605601033,42,T
1696271112.438397,55,0,0,,42.33445166666667,71.10039166666667,0.0,673039.2661290156,4689047.605601033,42,T
1696271113.4395468,56,0,0,,42.33445166666667,71.10039166666667,0.0,673039.2661290156,4689047.605601033,42,T
1696271114.461631,57,0,0,,42.33445166666667,71.10039166666667,0.0,673039.2661290156,4689047.605601033,42,T
1696271115.4389882,58,0,0,,42.33445166666667,71.10039166666667,0.0,673039.2661290156,4689047.605601033,42,T
1696271116.44186,59,0,0,,42.33445166666667,71.10039166666667,0.0,673039.2661290156,4689047.605601033,42,T
1696271117.4620032,60,0,0,,42.33445166666667,71.10039166666667,0.0,673039.2661290156,4689047.605601033,42,T
1696271118.4419358,61,0,0,,42.33445166666667,71.10039166666667,0.0,673039.2661290156,4689047.605601033,42,T
1696271119.4618554,62,0,0,,42.33445166666667,71.10039166666667,0.0,673039.2661290156,4689047.605601033,42,T
1696271120.4391427,63,0,0,,42.33445166666667,71.10039166666667,0.0,673039.2661290156,4689047.605601033,42,T
1696271121.4378355,64,0,0,,42.33445166666667,71.10039166666667,0.0,673039.2661290156,4689047.605601033,42,T
1696271122.4392648,65,0,0,,42.33445166666667,71.10039166666667,0.0,673039.2661290156,4689047.605601033,42,T
1696271123.4392579,66,0,0,,42.33445166666667,71.10039166666667,0.0,673039.2661290156,4689047.605601033,42,T
1696271124.4514337,67,0,0,,42.33445166666667,71.10039166666667,0.0,673039.2661290156,4689047.605601033,42,T
1696271125.4615486,68,0,0,,42.33445166666667,71.10039166666667,0.0,673039.2661290156,4689047.605601033,42,T
1696271126.4587972,69,0,0,,42.33445166666667,71.10039166666667,0.0,673039.2661290156,4689047.605601033,42,T
1696271127.4349003,70,0,0,,42.33445166666667,71.10039666666667,0.0,673039.678067887,4689047.615775619,42,T
1696271128.435613,71,0,0,,42.33445333333334,71.10040000000001,0.0,673039.9481226827,4689047.80762937,42,T
1696271129.4405098,72,0,0,,42.33445333333334,71.10040000000001,0.0,673039.9481226827,4689047.80762937,42,T
1696271130.4344897,73,0,0,,42.33445333333334,71.10040000000001,0.0,673039.9481226827,4689047.80762937,42,T
1696271131.460235,74,0,0,,42.33445333333334,71.10040000000001,0.0,673039.9481226827,4689047.80762937,42,T
1696271132.4345953,75,0,0,,42.33445333333334,71.10040000000001,0.0,673039.9481226827,4689047.80762937,42,T
1696271133.4369786,76,0,0,,42.33445333333334,71.10039833333333,0.0,673039.8108097278,4689047.804237833,42,T
1696271134.4373024,77,0,0,,42.33445333333334,71.10039833333333,0.0,673039.8108097278,4689047.804237833,42,T
1696271135.4367366,78,0,0,,42.33445333333334,71.10039833333333,0.0,673039.8108097278,4689047.804237833,42,T
1696271136.4362411,79,0,0,,42.33445333333334,71.10039833333333,0.0,673039.8108097278,4689047.804237833,42,T
1696271137.4620984,80,0,0,,42.33445333333334,71.10039833333333,0.0,673039.8108097278,4689047.804237833,42,T
1696271138.439225,81,0,0,,42.33445333333334,71.10039833333333,0.0,673039.8108097278,4689047.804237833,42,T
1696271139.4584506,82,0,0,,42.33445333333334,71.10040000000001,0.0,673039.9481226827,4689047.80762937,42,T
1696271140.43631,83,0,0,,42.33445333333334,71.10040000000001,0.0,673039.9481226827,4689047.80762937,42,T
1696271141.4579763,84,0,0,,42.33445333333334,71.10040000000001,0.0,673039.9481226827,4689047.80762937,42,T
1696271142.4407256,85,0,0,,42.33445333333334,71.10040000000001,0.0,673039.9481226827,4689047.80762937,42,T
1696271143.4643447,86,0,0,,42.33445333333334,71.10040000000001,0.0,673039.9481226827,4689047.80762937,42,T
1696271144.4416888,87,0,0,,42.33445333333334,71.10040000000001,0.0,673039.9481226827,4689047.80762937,42,T
1696271145.4430344,88,0,0,,42.33445333333334,71.10040000000001,0.0,673039.9481226827,4689047.80762937,42,T
1696271146.4365778,89,0,0,,42.33445333333334,71.10040000000001,0.0,673039.9481226827,4689047.80762937,42,T
1696271147.4407585,90,0,0,,42.334455,71.100405,0.0,673040.355490409,4689048.002874675,42,T
1696271148.4391222,91,0,0,,42.334455,71.100405,0.0,673040.355490409,4689048.002874675,42,T
1696271149.4354825,92,0,0,,42.334455,71.100405,0.0,673040.355490409,4689048.002874675,42,T
1696271150.4436617,93,0,0,,42.334455,71.100405,0.0,673040.355490409,4689048.002874675,42,T
1696271151.4427955,94,0,0,,42.334455,71.100405,0.0,673040.355490409,4689048.002874675,42,T
1696271152.4432077,95,0,0,,42.334455,71.100405,0.0,673040.355490409,4689048.002874675,42,T
