Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,quality,latitude,longitude,altitude,utm_easting,utm_northing,zone_number,zone_letter
1697468195.3503203,1,163716,799999999,GPS1_Frame,5,42.33727264404297,-71.08705139160156,12.519000053405762,328067.46875,4689334.0,19,T
1697468195.4177463,2,163717,799999999,GPS1_Frame,5,42.33727264404297,-71.08705139160156,12.468999862670898,328067.4375,4689334.0,19,T
1697468195.485483,3,163718,799999999,GPS1_Frame,5,42.33727264404297,-71.08705139160156,12.395999908447266,328067.4375,4689334.0,19,T
1697468195.5526874,4,163719,799999999,GPS1_Frame,5,42.33727264404297,-71.08705139160156,12.32800006866455,328067.4375,4689334.0,19,T
1697468195.6201956,5,163720,799999999,GPS1_Frame,5,42.33727264404297,-71.08705139160156,12.258999824523926,328067.4375,4689334.0,19,T
1697468195.6875203,6,163721,799999999,GPS1_Frame,5,42.33727264404297,-71.08705139160156,12.218999862670898,328067.4375,4689334.0,19,T
1697468195.7555966,7,163722,799999999,GPS1_Frame,5,42.33727264404297,-71.08705139160156,12.163999557495117,328067.4375,4689334.0,19,T
1697468195.82299,8,163723,799999999,GPS1_Frame,5,42.33727264404297,-71.08705139160156,12.11299991607666,328067.40625,4689334.0,19,T
1697468195.8898337,9,163724,799999999,GPS1_Frame,5,42.33727264404297,-71.08705139160156,12.050000190734863,328067.40625,4689334.0,19,T
1697468195.9572694,10,163725,799999999,GPS1_Frame,5,42.33727264404297,-71.08705139160156,11.982999801635742,328067.40625,4689334.0,19,T
1697468196.0245655,11,163726,799999999,GPS1_Frame,5,42.33727264404297,-71.08705139160156,11.901000022888184,328067.375,4689334.0,19,T
1697468196.0920472,12,163727,799999999,GPS1_Frame,5,42.33727264404297,-71.08705139160156,11.845000267028809,328067.375,4689334.0,19,T
1697468196.159445,13,163728,799999999,GPS1_Frame,5,42.33727264404297,-71.08705139160156,11.791000366210938,328067.34375,4689334.0,19,T
1697468196.2267385,14,163729,799999999,GPS1_Frame,5,42.33727264404297,-71.08705139160156,11.734999656677246,328067.3125,4689334.0,19,T
1697468196.2940617,15,163730,799999999,GPS1_Frame,5,42.33727264404297,-71.08705139160156,11.668999671936035,328067.28125,4689334.0,19,T
1697468196.361545,16,163731,799999999,GPS1_Frame,5,42.33727264404297,-71.08705139160156,11.611000061035156,328067.28125,4689334.0,19,T
1697468196.4288883,17,163732,799999999,GPS1_Frame,5,42.33727264404297,-71.08705139160156,11.550999641418457,328067.25,4689334.0,19,T
1697468196.4958854,18,163733,799999999,GPS1_Frame,5,42.33727264404297,-71.08705139160156,11.51200008392334,328067.21875,4689334.0,19,T
1697468196.5629208,19,163734,799999999,GPS1_Frame,5,42.33727264404297,-71.0870590209961,11.467000007629395,328067.1875,4689334.0,19,T
1697468196.6306493,20,163735,799999999,GPS1_Frame,5,42.33727264404297,-71.0870590209961,11.434000015258789,328067.125,4689334.0,19,T
1697468196.6978908,21,163736,799999999,GPS1_Frame,5,42.33727264404297,-71.0870590209961,11.409000396728516,328067.09375,4689334.0,19,T
1697468196.7656116,22,163737,799999999,GPS1_Frame,5,42.33727264404297,-71.0870590209961,11.378999710083008,328067.0625,4689334.0,19,T
1697468196.8331282,23,163738,799999999,GPS1_Frame,5,42.33727264404297,-71.0870590209961,11.385000228881836,328067.03125,4689334.0,19,T
1697468196.9009218,24,163739,799999999,GPS1_Frame,5,42.33727264404297,-71.0870590209961,11.380000114440918,328067.0,4689334.0,19,T
1697468196.9689126,25,163740,799999999,GPS1_Frame,4,42.33727264404297,-71.0870590209961,11.312000274658203,328067.0,4689334.0,19,T
1697468197.0366309,26,163741,799999999,GPS1_Frame,4,42.33727264404297,-71.0870590209961,11.310999870300293,328066.96875,4689334.0,19,T
1697468197.1037145,27,163742,799999999,GPS1_Frame,5,42.33727264404297,-71.0870590209961,11.357999801635742,328066.84375,4689333.5,19,T
1697468197.17124,28,163743,799999999,GPS1_Frame,4,42.33727264404297,-71.0870590209961,11.128000259399414,328066.96875,4689334.0,19,T
1697468197.23297,29,163744,799999999,GPS1_Frame,5,42.33727264404297,-71.0870590209961,10.96500015258789,328067.0,4689334.0,19,T
1697468197.2953491,30,163745,799999999,GPS1_Frame,5,42.33727264404297,-71.0870590209961,10.822999954223633,328067.03125,4689334.0,19,T
1697468197.3576128,31,163746,799999999,GPS1_Frame,5,42.33727264404297,-71.0870590209961,10.711000442504883,328067.0625,4689334.0,19,T
1697468197.4196303,32,163747,799999999,GPS1_Frame,5,42.33727264404297,-71.0870590209961,10.626999855041504,328067.09375,4689334.0,19,T
1697468197.481815,33,163748,799999999,GPS1_Frame,4,42.33727264404297,-71.08705139160156,10.442000389099121,328067.21875,4689334.0,19,T
1697468197.5442483,34,163749,799999999,GPS1_Frame,4,42.33727264404297,-71.08705139160156,10.446000099182129,328067.21875,4689334.0,19,T
1697468197.6066127,35,163750,799999999,GPS1_Frame,5,42.33727264404297,-71.08705139160156,10.232000350952148,328067.25,4689334.0,19,T
1697468197.66852,36,163751,799999999,GPS1_Frame,5,42.33727264404297,-71.08705139160156,10.069000244140625,328067.28125,4689334.0,19,T
1697468197.7304182,37,163752,799999999,GPS1_Frame,5,42.33727264404297,-71.08705139160156,9.918000221252441,328067.34375,4689334.0,19,T
1697468197.7930493,38,163753,799999999,GPS1_Frame,5,42.33727264404297,-71.08705139160156,9.779999732971191,328067.40625,4689334.0,19,T
1697468197.8554022,39,163754,799999999,GPS1_Frame,5,42.33727264404297,-71.08705139160156,9.633999824523926,328067.4375,4689334.0,19,T
